"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2940","logotest","firefox","2026-05-05","passed","2026-05-05","","reporters.spec.ts","",""
"","6457","accessibility test","chromium","2026-05-05","failed","2026-05-05","","accessibilitytesting.spec.ts","",""
"","5180","accessibility test","firefox","2026-05-05","failed","2026-05-05","","accessibilitytesting.spec.ts","",""
"","2470","logotest","chromium","2026-05-05","passed","2026-05-05","","reporters.spec.ts","",""
"","3375","title test","firefox","2026-05-05","failed","2026-05-05","","reporters.spec.ts","",""
"","3680","search test","firefox","2026-05-05","passed","2026-05-05","","reporters.spec.ts","",""
"","3220","search test","chromium","2026-05-05","passed","2026-05-05","","reporters.spec.ts","",""
"","2478","title test","chromium","2026-05-05","failed","2026-05-05","","reporters.spec.ts","",""
